"id","room_type","host_response_rate_num","host_acceptance_rate_num","price_num"
565171585673492875,"Entire home/apt",99,98,121.00
581057744765912905,"Entire home/apt",99,99,115.00
588298411730694861,"Entire home/apt",100,93,110.00
597655328370142613,"Entire home/apt",100,86,214.00
610090811367811938,"Entire home/apt",100,90,120.00
617242073954595468,"Entire home/apt",100,95,113.00
618673322156725003,"Entire home/apt",80,44,135.00
619695112394148331,"Entire home/apt",100,93,120.00
620480926228934988,"Entire home/apt",100,100,140.00
621960198566758900,"Entire home/apt",100,97,1379.00
623102454293479631,"Entire home/apt",100,99,89.00
625346918039601608,"Entire home/apt",100,99,95.00
628163387057233327,"Entire home/apt",99,99,120.00
795541666227926706,"Private room",73,100,
628824127129967353,"Private room",50,,68.00
631035244220396236,"Entire home/apt",99,99,100.00
631778545710518995,"Entire home/apt",100,91,
634108143238179968,"Entire home/apt",100,100,216.00
636902252641496970,"Private room",100,100,47.00
910155617642317638,"Private room",100,83,
646570081594519710,"Entire home/apt",100,100,95.00
649973892551492641,"Entire home/apt",100,93,89.00
653433851241162365,"Entire home/apt",100,89,130.00
654302747324294105,"Entire home/apt",99,99,115.00
657130517248738038,"Entire home/apt",100,100,101.00
658160753231817095,"Entire home/apt",100,86,207.00
658638185191740358,"Entire home/apt",,100,159.00
662132809952482192,"Entire home/apt",,100,139.00
667644674529935702,"Entire home/apt",100,98,130.00
668608096674070882,"Private room",100,97,99.00
668608486588067880,"Private room",100,97,99.00
677623197606854496,"Entire home/apt",,13,
681241051140825073,"Private room",100,100,52.00
681264183196450583,"Private room",100,100,47.00
681952268271889535,"Entire home/apt",100,100,140.00
682687626408133288,"Entire home/apt",99,98,179.00
684100173908872919,"Entire home/apt",100,99,89.00
687496906843024117,"Entire home/apt",100,100,170.00
688355255688353452,"Entire home/apt",,,171.00
689719338468663432,"Entire home/apt",100,99,104.00
692807914756117019,"Entire home/apt",100,98,125.00
703551649845095095,"Entire home/apt",100,71,168.00
705660262559003663,"Entire home/apt",100,93,110.00
712542707120872702,"Entire home/apt",100,88,299.00
714335368144257108,"Private room",100,100,60.00
717373135846408345,"Entire home/apt",99,98,135.00
958199983873241221,"Entire home/apt",100,95,141.00
723956857052424266,"Entire home/apt",100,99,197.00
724566770267420045,"Entire home/apt",100,95,117.00
733964865705013296,"Entire home/apt",100,83,68.00
735879623743921266,"Entire home/apt",100,99,92.00
736893992132754814,"Private room",100,67,60.00
803682039097862541,"Entire home/apt",100,93,181.00
737574278276037589,"Entire home/apt",99,98,185.00
739722503092755616,"Private room",100,98,55.00
743600140734706394,"Entire home/apt",100,100,103.00
744430701454304507,"Entire home/apt",100,94,94.00
750748704706045644,"Entire home/apt",100,93,131.00
751421033442627559,"Entire home/apt",100,100,114.00
752118894541630543,"Entire home/apt",100,97,139.00
752337379205662422,"Entire home/apt",100,97,120.00
756752556396798800,"Private room",100,100,50.00
757342235277207834,"Entire home/apt",97,23,70.00
757978037279611051,"Entire home/apt",99,98,128.00
761141715827746314,"Entire home/apt",100,99,95.00
764508866835218670,"Private room",100,83,75.00
774701102203414342,"Entire home/apt",100,85,70.00
775645647912379518,"Entire home/apt",100,100,145.00
786181179052991690,"Entire home/apt",97,23,74.00
786228331433922432,"Entire home/apt",97,23,121.00
786316043239579100,"Entire home/apt",100,88,80.00
787023821243442039,"Entire home/apt",100,98,226.00
788301415655396660,"Entire home/apt",99,98,150.00
793223286704705121,"Entire home/apt",100,99,92.00
794723189688979530,"Entire home/apt",100,100,86.00
796231143904004713,"Private room",73,100,127.00
797455132224782470,"Private room",100,100,60.00
798715218269100922,"Entire home/apt",100,100,115.00
802216634798169031,"Private room",73,100,127.00
803604897479679272,"Entire home/apt",100,68,125.00
803814397190632412,"Private room",73,100,127.00
803867986023966300,"Private room",73,100,127.00
806767523952124375,"Entire home/apt",100,100,103.00
809524698302742033,"Entire home/apt",100,100,90.00
813640070361665090,"Private room",100,82,55.00
821566342267452838,"Private room",100,57,55.00
823275570359807298,"Entire home/apt",,,
826301775871257033,"Entire home/apt",100,100,111.00
831122937768017113,"Entire home/apt",100,96,214.00
841524382518312215,"Entire home/apt",78,88,120.00
880290989870286099,"Entire home/apt",90,93,134.00
841524433909352403,"Entire home/apt",78,88,120.00
843481456379840308,"Entire home/apt",97,23,99.00
845960193409947556,"Entire home/apt",100,100,361.00
846586211673806912,"Entire home/apt",90,93,137.00
